harmoniques aigues,7
plus mat,5
pas mal,3
composantes aigues,3
peu sourd,2
peu etouffe,2
moins brillante,2
peu pejoratif,2
plus chaud,2
pas oppose,2
pas brill,2
3000 hertz,2
pas envie,2
vois pass,1
non vibre,1
sons graves,1
pas mat,1
sans accent,1
peu projete,1
pas vibre,1
contenu harmonique,1
pas apport,1
plus pointu,1
venir augment,1
attaque posee,1
plus facile,1
peu velvet,1
pas richesse,1
pas fan,1
onde hertzienne,1
jeu instrumental,1
gravite spectrale,1
pas lache,1
musiques jazz,1
velvet feutre,1
dark bright,1
informations harmoniques,1
super interessant,1
plus enveloppant,1
emploi sourd,1
etouff pauvre,1
terne gris,1
pas bruite,1
centre mou,1
precise definie,1
frequences aigu,1
grave difficile,1
utilis mat,1
totalement mats,1
faire grave,1
