rondeur,37
attaque,36
son,25
aigu,23
harmonique,19
agressif,18
note,17
timbre,15
reson,14
dir,14
resonance,13
coup,12
manque,11
cherch,10
rugueux,10
oppose,10
dur,9
corde,8
grave,8
impression,8
chaud,8
homogene,8
vois,8
bruit,8
difficile,7
franc,7
terme,7
frequence,7
heure,7
mal,7
jouent,6
faire,6
chaleur,6
sec,6
ecout,6
court,6
woodblock,6
joue,6
composante,6
asperite,6
prend,6
qualifi,6
aigre,6
chose,6
vouloir,5
definir,5
aller,5
air,5
brillant,5
frequentiel,5
